excel_column,excel_header,source_group,primary_source,primary_field_expression,secondary_source,secondary_field_expression,column_selection_rule,notes
A,STT,derived,Generated in export,row index bắt đầu từ 1,,,Cột cố định,Không đọc từ Odoo.
B,Khối,contract,hr.contract,"khoi_id.display_name, fallback khoi_name",hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Lấy từ open contract được chọn bởi _sort_contracts_for_open_template. Nếu nhân viên không có open contract, cột này vẫn có thể nhận từ payslip line nếu tên line trùng header. Nhãn khớp: Khối Header leaf trùng với cột DN; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào DN, không map vào B. Cần alias riêng để phân biệt."
C,Phòng/Bộ phận,contract,hr.contract,"department_id.display_name, fallback phong_id.display_name",hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Ưu tiên open contract; nếu không có open contract thì có thể rơi về payslip line. Nhãn khớp: Phòng/Bộ phận Header leaf trùng với cột DO; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào DO, không map vào C. Cần alias riêng để phân biệt."
D,MÃ NV,payslip_employee,hr.payslip,employee_id.id,,,Cột cố định,"Giá trị là ID many2one của hr.payslip.employee_id, tương ứng hr.employee.id."
E,HỌ VÀ TÊN,payslip_employee,hr.payslip,employee_id.display_name,,,Cột cố định,Tên hiển thị many2one từ hr.payslip.employee_id.
F,CHỨC DANH,contract,hr.contract,job_id.display_name,hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Ưu tiên open contract; nếu không có open contract thì có thể rơi về payslip line. Nhãn khớp: CHỨC DANH
G,Ngày vào Tập đoàn,contract,hr.contract,"contract_start_date, fallback date_start",hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Ưu tiên open contract; nếu không có open contract thì có thể rơi về payslip line. Nhãn khớp: Ngày vào Tập đoàn
H,Ngày nghỉ việc,contract,hr.contract,"contract_end_date, fallback date_end",hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Ưu tiên open contract; nếu không có open contract thì có thể rơi về payslip line. Nhãn khớp: Ngày nghỉ việc
I,Loại Hợp đồng lao động,contract,hr.contract,contract_type_id.display_name,hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Ưu tiên open contract; nếu không có open contract thì có thể rơi về payslip line. Nhãn khớp: Loại Hợp đồng lao động
J,Tổng lương theo HĐLĐ,contract,hr.contract,"gross_salary, fallback official_gross_salary, fallback wage",hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nếu đã có open contract thì payslip line không ghi đè cột này. Nhãn khớp: Tổng lương theo HĐLĐ | lương theo hđlđ
K,BHXH/BHYT,contract,hr.contract,luong_bhxh,hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nếu đã có open contract thì payslip line không ghi đè cột này. Nhãn khớp: BHXH/BHYT | mức lương đóng bhxh
L,BHTN,contract,hr.contract,luong_bhtn,hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nếu đã có open contract thì payslip line không ghi đè cột này. Nhãn khớp: BHTN | mức lương đóng bhtn
M,LƯƠNG / CƠ BẢN,contract,hr.contract,wage khi contract_type_id == 3 (thử việc),hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Cột M chỉ được khóa khi open contract là thử việc. Nếu không, payslip line vẫn có thể điền cột này. Nhãn khớp: LƯƠNG / CƠ BẢN | cơ cấu lương thử việc - lương cơ bản Header leaf trùng với cột O; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào O, không map vào M. Cần alias riêng để phân biệt."
N,THƯỞNG YTCL CÔNG VIỆC,contract,hr.contract,ytcl_wage khi contract_type_id == 3 (thử việc),hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Cột N chỉ được khóa khi open contract là thử việc. Nếu không, payslip line vẫn có thể điền cột này. Nhãn khớp: THƯỞNG YTCL CÔNG VIỆC | cơ cấu lương thử việc - thưởng ytclcv Header leaf trùng với cột P; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào P, không map vào N. Cần alias riêng để phân biệt."
O,LƯƠNG / CƠ BẢN,contract,hr.contract,wage khi contract_type_id != 3 (chính thức),hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Cột O chỉ được khóa khi open contract không phải thử việc. Nếu không, payslip line vẫn có thể điền cột này. Nhãn khớp: LƯƠNG / CƠ BẢN | cơ cấu lương chính thức - lương cơ bản Header leaf trùng với cột M; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào O."
